date,modality,quality,file_count,total_size
2023-10-14,image,u,22,24770337
2023-10-20,image,l,3,4455275
2023-10-21,image,u,1540,996842553
2023-10-21,image,l,17,24367078
2023-10-22,image,u,913,757391306
2023-10-22,image,h,795,627452217
2023-10-22,image,l,234,443187567
2023-10-23,image,h,3114,2624874893
2023-10-24,image,h,3421,2706445127
2023-10-25,image,l,2000,3985842041
2023-10-25,image,h,3401,2945839101
2023-10-26,image,h,2884,2704101275
2023-10-26,image,l,2826,5630967629
2023-10-27,image,h,3732,3445153925
2023-10-27,image,l,3616,5164387238
2023-10-28,image,h,4179,3928342585
2023-10-28,image,l,3880,5625402725
2023-10-29,image,h,202,163645772
2023-10-29,image,l,188,245277636
2023-10-30,image,h,429,357856450
2023-11-08,audio,h,900,38123197
2023-11-08,image,h,2916,2430660025
2023-11-09,image,h,2391,2117708424
2023-11-09,audio,h,2388,101975700
2023-11-10,audio,h,2785,118893808
2023-11-10,image,h,2789,2795567718
2023-11-13,audio,h,2,85477
2023-11-13,image,h,2,1995235
2023-11-14,image,h,94,100434575
2023-12-14,audio,h,14,596237
2023-12-14,image,h,16,6489553
2023-12-14,image,l,1,536279
2023-12-15,audio,l,1171,49493882
2023-12-15,audio,h,1403,59334135
2023-12-15,image,h,1935,1847936743
2023-12-15,image,l,2398,4731035021
2023-12-16,audio,l,2234,94802282
2023-12-16,audio,h,2500,106102937
2023-12-16,image,l,2282,4983821335
2023-12-16,image,h,2507,2467642800
2023-12-17,audio,l,1289,54873748
2023-12-17,audio,h,1353,57588429
2023-12-17,image,h,1353,1020195801
2023-12-17,image,l,1311,1569800853
2023-12-18,image,l,1343,1634198034
2023-12-18,image,h,1622,1108131059
2023-12-18,audio,h,1620,68912605
2023-12-18,audio,l,1320,56150679
2023-12-19,image,l,1229,2428705625
2023-12-19,image,h,862,789596542
2023-12-19,audio,h,859,36435511
2023-12-19,audio,l,1208,51331227
2023-12-20,image,l,167,317356268
2023-12-20,image,h,18,14654715
2023-12-20,audio,h,18,770272
2023-12-20,audio,l,166,7092621
2023-12-21,audio,h,12,512102
2023-12-21,audio,l,204,8717251
2023-12-21,image,l,206,399398708
2023-12-21,image,h,12,9980129
2024-01-12,image,h,2975,2765275084
2024-01-12,audio,l,2610,109298934
2024-01-12,audio,h,2972,124390986
2024-01-12,image,l,2658,5425063002
2024-01-13,audio,l,1165,48647440
2024-01-13,image,l,1199,2105407379
2024-01-13,audio,h,2210,92651438
2024-01-13,image,h,2218,1918699930
2024-01-14,audio,l,1676,70575955
2024-01-14,audio,h,1875,78879553
2024-01-14,image,l,1726,3105830351
2024-01-14,image,h,1877,1591800617
2024-01-15,audio,h,2412,101092869
2024-01-15,image,l,2173,4403035287
2024-01-15,image,h,2415,2051656859
2024-01-15,audio,l,2117,88751228
2024-01-16,image,h,1519,964029179
2024-01-16,audio,l,482,20248587
2024-01-16,audio,h,1518,64025708
2024-01-16,image,l,491,518765838
2024-01-17,audio,h,2591,108401042
2024-01-17,audio,l,2314,96914356
2024-01-17,image,h,2593,2038410976
2024-01-17,image,l,2345,3688616946
2024-01-18,image,l,2545,3980673767
2024-01-18,image,h,2790,1962702435
2024-01-18,audio,h,2785,116448497
2024-01-18,audio,l,2519,105331584
2024-01-19,audio,h,2532,106460008
2024-01-19,image,l,949,1306934815
2024-01-19,audio,l,942,39468419
2024-01-19,image,h,2537,1537258810
2024-01-20,audio,l,1350,56718684
2024-01-20,image,l,1378,1655515842
2024-01-20,image,h,2156,1366185350
2024-01-20,audio,h,2150,90281223
2024-01-21,image,l,481,705522554
2024-01-21,image,h,552,363548209
2024-01-21,audio,l,473,19949823
2024-01-21,audio,h,551,23236826
2024-01-22,image,l,2430,3903850952
2024-01-22,image,h,2699,2049406918
2024-01-22,audio,l,2386,99834527
2024-01-22,audio,h,2696,112728418
2024-01-23,audio,l,2327,97261759
2024-01-23,image,l,2365,3876348593
2024-01-23,image,h,2618,2047094760
2024-01-23,audio,h,2615,109245801
2024-01-24,image,l,2023,1545882407
2024-01-24,audio,l,1988,83134356
2024-01-24,audio,h,2372,99159861
2024-01-24,image,h,2375,1242416897
2024-01-25,image,l,1117,1940225634
2024-01-25,audio,l,1097,45751095
2024-01-25,image,h,1821,1557668220
2024-01-25,audio,h,1812,75753557
2024-01-26,image,l,778,978355593
2024-01-26,image,h,2469,1923231968
2024-01-26,audio,h,2463,103282447
2024-01-26,audio,l,766,31960257
2024-01-27,audio,l,2208,92405071
2024-01-27,image,l,2250,4453453824
2024-01-27,image,h,2496,2371311534
2024-01-27,audio,h,2492,104150972
2024-01-28,audio,h,1281,54112134
2024-01-28,audio,l,474,20000119
2024-01-28,image,h,1285,847450949
2024-01-28,image,l,482,407347353
2024-01-29,audio,h,2530,106261395
2024-01-29,audio,l,1646,69074094
2024-01-29,image,l,1677,2019959303
2024-01-29,image,h,2533,1701978574
2024-01-30,audio,l,2248,94303730
2024-01-30,audio,h,2645,110803720
2024-01-30,image,l,2274,3074911852
2024-01-30,image,h,2648,1923584329
2024-01-31,image,h,2804,1853314319
2024-01-31,audio,l,2507,104883141
2024-01-31,image,l,2550,3470571028
2024-01-31,audio,h,2801,117119062
2024-02-01,audio,l,2520,105464460
2024-02-01,image,h,2791,1876742024
2024-02-01,audio,h,2786,116507469
2024-02-01,image,l,2565,3633024498
2024-02-02,image,h,2838,2352805490
2024-02-02,image,l,2559,3976796197
2024-02-02,audio,h,2832,118266127
2024-02-02,audio,l,2520,105386559
2024-02-03,image,h,2526,2509242939
